poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/compute/fixtures/gce/aggregated_addresses.json
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/lib/stride_tricks.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/saga_python-0.18-py2.7.egg/saga/adaptors/cpi/advert/directory.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/PIL/ImageMode.pyc
isaachbn/docker-notify-api;Dockerfile
peterreisz/docker-containers;ssh-java8-tomcat8-mysql55-elastic210/Dockerfile
enxebre/docker-browser-server;Dockerfile
chenqingzhan/docker-in-notwork;tools/cmd/tipgodoc/Dockerfile
sangwonl/docker-stats-monitoring;docker-graphiteweb/Dockerfile
yangtao309/docker-registry-items;varnish/Dockerfile
FredHutch/Oncoscape-dev-environment;Dockerfile
tonysneed/SoftwareArchitect.AspNet5;Demos/05-AspNet5AzureDocker/ConsoleApp/Dockerfile
askb/docker;vendor/src/github.com/docker/notary/Dockerfile.signer
erzel/vitess;docker/publish-site/Dockerfile
moul/contrib;exec-healthz/Dockerfile
osxcc/golang;1.6beta2/Dockerfile
dqminh/docker;Dockerfile
jonbrouse/elk;logstash/Dockerfile
mfojtik/mysql;5.6/Dockerfile.rhel7
vbehar/origin;images/release/golang-1.4/Dockerfile
weener/docker;contrib/builder/deb/amd64/ubuntu-wily/Dockerfile
SamYaple/kolla;docker/centos/source/magnum/magnum-api/Dockerfile
angrbrd/fabric;examples/chaincode/go/utxo/Dockerfile
avi3tal/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/tf2/Dockerfile
hustcat/docker;docs/Dockerfile
shroman/ignite;modules/docker/1.2.0/Dockerfile
zmarouf/docker;builder/parser/testfiles/multiple-volumes/Dockerfile
Joecakes4u/vent;vent/core/elasticsearch/Dockerfile
SharpLee/docker;contrib/syntax/kate/Dockerfile.xml
armbuild/docker;docs/articles/https/Dockerfile
mitni455/RoboCI;recipes/mysql/Dockerfile
