mehulsbhatt/docker-ovs;1.10.2/Dockerfile
sharmi/julia-docker;ubuntu-julia/Dockerfile
ghostnetwrk/ghostnet;tests/files/ansible/test-files/docker-go/Dockerfile
klizhentas/dashboard;Dockerfile
paulczar/dockerfiles;zsh/Dockerfile
vpavlin/docker-tools;run-container/fedora-systemd/Dockerfile
RaduBerinde/cockroach;build/Dockerfile
izaakschroeder/docker;builder/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
kasundsilva/app-cloud;modules/resources/dockerfiles/wso2esb/github/Dockerfile.wso2esb.5.0.0
lburgazzoli/lb-docker;apps/chromium/Dockerfile
shakamunyi/kubernetes;contrib/git-sync/demo/hugo/Dockerfile
derekparker/kubernetes;test/images/serve_hostname/Dockerfile
nilp0inter/yarara-docker;2.2/Dockerfile
sangharshgautam/wa-route;.codenvy/runners/environments/Copy of Java 7/Dockerfile
chakri-nelluri/kubernetes;test/images/mount-tester-user/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/tsa/kalmanf/kalmanfilter.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/SQLAlchemy-0.9.7-py2.7-linux-x86_64.egg/sqlalchemy/orm/strategies.pyc
rascalking/take-turns-web;app/Dockerfile
royvandewater/gogoslow4me;Dockerfile
Cogniteinc/docker-orientdb;Dockerfile
oanc/docker-service-manager;Dockerfile.base
andrewcstewart/galaxy-docker;Dockerfile
murali-katipalli-dtcc/fabric;examples/chaincode/go/utxo/Dockerfile
resin-io-library/base-images;golang/parallella-hdmi-resin/fedora/1.4/onbuild/Dockerfile
show0k/docker-miniconda-armv7;Dockerfile
shishaochen/TensorFlow-0.8-Win;third_party/grpc/tools/dockerfile/distribtest/python_ubuntu1510_x64/Dockerfile
brianbishop/attribute-directives;Dockerfile
UKHomeOffice/dockerfile-validator;testfiles/Dockerfile
serbangilvitu/jenkins-docker-demo;swarm-base-node/Dockerfile
ThomasSteinbach/docker-dwarf-fortress;Dockerfile
manjunathrreddy/docker-jenkins-sample;debian/Dockerfile
UKForeignOffice/loi-submission-service;Dockerfile
nagarjunareddy-dhanireddy/pkassessment;api/docker/Dockerfile
NetSys/e2d2;container/Dockerfile
armab/drone;Dockerfile
ejona86/grpc;tools/dockerfile/distribtest/python_wheezy_x64/Dockerfile
mnagy/origin;test/extended/fixtures/hello-builder/Dockerfile
wkubiak/grpc;tools/dockerfile/grpc_ruby_base/Dockerfile
LeKovr/consup;Dockerfiles/nodejs/init.sh
crquan/docker;docs/sources/examples/postgresql_service.Dockerfile
nalind/graphc;vendor/src/github.com/docker/docker/contrib/httpserver/Dockerfile
popand/vipaas;applicationservices/bookmarkservice/Dockerfile
zelahi/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
coolsvap/kolla;docker/openvswitch/openvswitch-base/Dockerfile.j2
fabioy/contrib;Ingress/images/haproxy/Dockerfile
negronjl/kolla;docker/nova/nova-conductor/Dockerfile.j2
opencog/docker;opencog/base/Dockerfile
sean-jc/docker;Dockerfile.aarch64
swingbach/etcd;cmd/vendor/golang.org/x/net/http2/Dockerfile
HackToday/kolla;docker/centos/binary/galera/Dockerfile
dhiltgen/docker;Dockerfile
mukgupta/docker;contrib/host-integration/Dockerfile.dev
csasarak/go-ipfs;test/3nodetest/data/Dockerfile
