mehulsbhatt/docker-ovs;1.10.2/Dockerfile
smillst/checker-framework;checker/bin-devel/Dockerfile-ubuntu-jdkany
tkaemming/bottledwater-pg;build/Dockerfile.postgres
ravisantoshgudimetla/origin;images/router/haproxy-base/Dockerfile
sutoiku/docker-alpine-grafana;Dockerfile
DirectXMan12/Fedora-Dockerfiles;kubernetes/apiserver/Dockerfile
glennpaulmartin/lab4-docker-cloud;Dockerfile
blmlove409/docker-openwrt-buildroot;Dockerfile
coinkeeper/2015-06-22_18-46_reddcoin;contrib/docker/Dockerfile_electrum_server
dcbw/origin;images/pod/Dockerfile
tomz/bigtop;docker/bigtop-deploy/debian-8/Dockerfile
ctmnz/docker;builder/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
mandre/kolla;docker/keystone/keystone-ssh/Dockerfile.j2
jrit/cvr-view;Dockerfile
shulmanb/reef;dev/docker/ubuntu12.04-jdk7-hdp2.2.7/Dockerfile
tamihiro/grpc;tools/dockerfile/distribtest/node_ubuntu1204_x64/Dockerfile
adouang/docker;docs/articles/https/Dockerfile
eparis/contrib;scale-demo/nginx/Dockerfile
jhadvig/origin;Godeps/_workspace/src/k8s.io/kubernetes/docs/user-guide/liveness/image/Dockerfile
jonboulle/etcd;Dockerfile-release
mwringe/origin;examples/jenkins/master-slave/slave/Dockerfile
wyndell/docker;contrib/builder/deb/amd64/debian-wheezy/Dockerfile
Akasurde/docker;builder/dockerfile/parser/testfiles-negative/shykes-nested-json/Dockerfile
femibyte/docker;builder/parser/testfiles/mumble/Dockerfile
jimmyyan/docker;contrib/builder/deb/ubuntu-debootstrap-precise/Dockerfile
kingland/docker;builder/parser/testfiles/multiple-volumes/Dockerfile
masa-ike/docker;builder/dockerfile/parser/testfiles/env/Dockerfile
reddec/rabbitmq;Dockerfile
rhuss/gofabric8;vendor/github.com/openshift/origin/images/pod/Dockerfile
sebv/kubernetes;docs/design/clustering/Dockerfile
dj80hd/cassandra;opscenter/Dockerfile
garnertb/geonode;Dockerfile
hyperhq/hypercli;contrib/syntax/textmate/Docker.tmbundle/Preferences/Dockerfile.tmPreferences
E312232595/docker;builder/parser/testfiles-negative/env_no_value/Dockerfile
colhom/kubernetes;test/images/pets/zookeeper/Dockerfile
EasonYi/kubernetes;build/build-image/cross/Dockerfile
bsmr-docker/docker;builder/dockerfile/parser/testfiles/env/Dockerfile
childsb/kubernetes;test/images/serve_hostname/Dockerfile
dnascimento/docker;builder/parser/testfiles/nginx/Dockerfile
michelvocks/docker;docs/examples/postgresql_service.Dockerfile
t4skforce/pyspider;Dockerfile
wyue-redhat/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/continueIndent/Dockerfile
xiaohui/kubernetes;docs/user-guide/liveness/image/Dockerfile
DieterReuter/docker;Dockerfile.windows
antonio2718/go-ipfs;test/3nodetest/client/Dockerfile
dancn/fuel-main-dev;docker/cobbler/Dockerfile
mugab686/kubernetes;examples/nfs/exporter/Dockerfile
nigelpoulton/docker;contrib/builder/rpm/fedora-22/Dockerfile
vanloswang/shipyard;controller/Dockerfile
netkicorp/addressimo;Dockerfile
MrArnoldPalmer/docker;contrib/httpserver/Dockerfile
Samsung-AG/kubernetes;examples/explorer/Dockerfile
azole/docker-workshop;build-fork/Dockerfile
dial-once/sensu-stack;carbon-cache/Dockerfile
mesosphere/kubernetes;build/pause/Dockerfile
shayne173/prettygreen;wp-content/plugins/tiny-compress-images/config/Dockerfile-phantomjs
cfmobile/pool-resource;ci/Dockerfile
ianmiell/shutit-distro;opensp/Dockerfile
nodesource/docker-node;fedora/24/node/6.2.2/Dockerfile
nodesource/docker-node;fedora/20/node/4.1.2/Dockerfile
spirit-contrib/session;Dockerfile
lexxx233/AtomicProcessor;Dockerfile
hurricanehrndz/Emby.Build;builders/emby-server/debian/stretch/Dockerfile
juju-solutions/kubernetes;cluster/addons/python-image/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Cython/Includes/cpython/bytes.pxd
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/nbconvert/filters/tests/test_markdown.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/requests-2.4.0-py2.7.egg/requests/packages/chardet/codingstatemachine.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/html/static/style/ipython.min.css
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/weave/inline_tools.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/distribute-0.6.34-py2.7.egg/setuptools/tests/test_resources.py
registe/shadowsocks-libev;docker/alpine/Dockerfile
EIrwin/docker-maven-plugin;samples/data-jolokia-demo/src/main/docker/demo/Dockerfile
lrolaz/spring-music-docker;tomcat/Dockerfile-template
nickpoorman/docker-chronos;Dockerfile
dustymabe/Fedora-Dockerfiles;hadoop/single_container/Dockerfile
resin-io-library/base-images;golang/edison/debian/1.5/onbuild/Dockerfile
resin-io-library/base-images;golang/parallella-hdmi-resin/fedora/1.6/slim/Dockerfile
svdberg/syncmysport-runkeeper;syncmysport-web/Dockerfile
Test-Betta-Inc/psychic-barnacle;contrib/builder/rpm/centos-7/Dockerfile
LuRsT/pocket_latest_read_articles;Dockerfile
hainm/binder;services/spark/1.4.1/images/worker/Dockerfile
Shinzu/docker;docs/sources/examples/apt-cacher-ng.Dockerfile
akranga/proxy;docker/Dockerfile
bru7us/docker;contrib/builder/rpm/centos-7/Dockerfile
jrjang/docker;man/Dockerfile
mssola/docker;docs/Dockerfile
bachue/Dockers;ruby/Dockerfile
dklempner/grpc;templates/tools/dockerfile/test/csharp_jessie_x64/Dockerfile.template
dyrnade/zcloud;buildbot/slave/ulakbus/Dockerfile
justone/docker;contrib/builder/deb/debian-wheezy/Dockerfile
dastiw1/piramid;docker/php/Dockerfile
femibyte/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
hongbinz/docker;contrib/builder/rpm/fedora-22/Dockerfile
liqueur/tornado;demos/blog/Dockerfile
mbentley/docker;Dockerfile.windows
sspeiche/origin;Godeps/_workspace/src/k8s.io/kubernetes/examples/kubectl-container/Dockerfile
verb/kubernetes;cluster/images/flannel/Dockerfile
JohnyDays/docker;contrib/builder/deb/debian-stretch/Dockerfile
Praqma/luci-core;src/main/resources/docker/data/Dockerfile
SMRxT/kubernetes;examples/guestbook/php-redis/Dockerfile
taka-wang/mb-web;release/Dockerfile.armhf-cache
wking/dockerfile;gentoo-node/Dockerfile.template
docpad/dockerfile;Dockerfile
jmhardison/docker;contrib/builder/rpm/oraclelinux-6/Dockerfile
jsonnull/fireside;docker/Dockerfile
linsun/kubernetes;cluster/mesos/docker/test/Dockerfile
stefwalter/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
Ye-Yong-Chi/docker;contrib/desktop-integration/gparted/Dockerfile
StevenLudwig/origin;images/builder/docker/sti-image-builder/Dockerfile
WIZARD-CXY/dockerCF;pg/Dockerfile
barajus/dockerfiles;nes/Dockerfile
buddhamagnet/docker;contrib/builder/rpm/oraclelinux-7/Dockerfile
neshmi/projectmosul;Dockerfile.prod
pagespace/pagespace;Dockerfile
rentongzhang/docker;docs/Dockerfile
chenchun/docker-java;src/test/resources/nonstandard/subdirectory/Dockerfile-nonstandard
gluwaile/dockerfiles;transmission-ui/Dockerfile
signalfx/docker-java;src/test/resources/testDockerfileNotIgnored/Dockerfile
CodeJuan/distribution;docs/Dockerfile
MSOpenTech/kubernetes;build/build-image/Dockerfile
StackFocus/PostMaster;Dockerfile
joyent/containerpilot;integration_tests/fixtures/test_probe/Dockerfile
konstruktoid/docker-1;builder/dockerfile/parser/testfiles/mail/Dockerfile
lucaskanashiro/debile;contrib/clemux/docker/debile-http/Dockerfile
stylisted/docker-node;5.1/onbuild/Dockerfile
cfouant/katello-deploy;docker/clients/centos7/Dockerfile
christopherobin/docker;builder/parser/testfiles/flags/Dockerfile
jimmyjones2/kubernetes;examples/guestbook/redis-slave/Dockerfile
lukemarsden/kubernetes;docs/user-guide/horizontal-pod-autoscaling/image/Dockerfile
menglin0320/resnet_try;docker/standalone/gpu/Dockerfile
opennetworkinglab/onos;tools/build/docker/Dockerfile
luwensu/autotest-docker;subtests/docker_cli/build/jsonvol/Dockerfile
the-asi/docker-notebook;scipystack/Dockerfile
akshaybahetii/kubernetes;docs/design/clustering/Dockerfile
ccpricenytimes/acorn-bot;Dockerfile
jszczepkowski/kubernetes;cluster/images/hyperkube/Dockerfile
Ennexa/docker-volumes-nfs;experimental/Dockerfile
itscaro/angularjs-calibre;Dockerfile
ludovicc/ansible-marathon;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Cython/Plex/Scanners.pxd
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/nose-1.3.0-py2.7.egg/nose/plugins/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/Affy/CelFile.py
Aplyca/ansible-role-varnish;Dockerfile
aweiteka/CentOS-Dockerfiles;postgres/centos7/Dockerfile
bazooka-ci/bazooka-lang-ruby;runner/2.0/Dockerfile
nicolashery/example-marvel-haskell;Dockerfile
playlist-docker/zookeeper-exhibitor;Dockerfile
dcos/dcos-ui;Dockerfile
lsxia/docker;contrib/builder/deb/ubuntu-debootstrap-wily/Dockerfile
ludiazv/cell;mysql/Dockerfile
ypid/subuser;docs/Dockerfile
livepy/portia;Dockerfile
dcrisan/origin;Godeps/_workspace/src/github.com/docker/distribution/docs/Dockerfile
genedna/docker;Dockerfile.gccgo
intfrr/meteord;binbuild/Dockerfile
dwcramer/docker;docs/examples/postgresql_service.Dockerfile
keloyang/docker;builder/dockerfile/parser/testfiles/health/Dockerfile
luxas/dashboard;src/deploy/Dockerfile
rhamilto/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/continueIndent/Dockerfile
bwahn/kubernetes;examples/guestbook/php-redis/Dockerfile
ceph/ceph-docker;ceph-releases/jewel/fedora/24/daemon/Dockerfile
fsoppelsa/docker;docs/security/https/Dockerfile
msabansal/docker;builder/dockerfile/parser/testfiles/flags/Dockerfile
rrati/kubernetes;test/images/iperf/Dockerfile
Amey-D/kubernetes;docs/user-guide/liveness/image/Dockerfile
StefanoRaggi/Lean;Dockerfile
conjurinc/sdf-gen;examples/listy/webapp/identity/Dockerfile
scottaddie/vscode;extensions/docker/test/colorize-fixtures/Dockerfile
shrids/kubernetes;cluster/addons/dns/kube2sky/Dockerfile
sillelien/s3-conf;Dockerfile
vashstorm/rocksdb;tools/Dockerfile
dkao-cb/perfrunner;docker/Dockerfile
firemark/test-task;Dockerfile
lixueclaire/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-single-quotes/Dockerfile
mdshuai/kubernetes;examples/k8petstore/redis-slave/Dockerfile
michelvocks/docker;vendor/src/github.com/docker/notary/server.Dockerfile
Kaffa-MY/kubernetes;cluster/images/kubemark/Dockerfile
mscherer/kubernetes;contrib/logging/kibana-image/Dockerfile
saad-ali/kubernetes;build/build-image/Dockerfile
sunxiang0918/docker;vendor/src/github.com/docker/distribution/Dockerfile
cgswong/docker-vault;0.2.0/Dockerfile
pdevine/distribution;contrib/docker-integration/Dockerfile
Random-Liu/kubernetes;examples/storage/rethinkdb/image/Dockerfile
edannenberg/gentoo-bb;dock/gentoobb/images/webhook/Dockerfile.template
jiaweizhou/kubernetes;test/images/mount-tester/Dockerfile
gosharplite/kubernetes;docs/user-guide/liveness/image/Dockerfile
volkerwiegand/owncloud;Dockerfile
waltzofpearls/tetris-go;Dockerfile
xibosignage/xibo-docker;containers/web/Dockerfile
ram-g-athreya/Wappalyzer;docker/Dockerfile
syawaralaycare/semaphore;Dockerfile
Gordin/Layers-Dockerfiles;tethys-userstorage-data/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/MetaSV-0.5-py2.7.egg/metasv.bak/age_parser.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/PIL/_imagingft.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/distributions/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/compute/fixtures/cloudstack/queryAsyncJobResult_17202.json
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/loadbalancer/fixtures/cloudstack/removeFromLoadBalancerRule_default.json
sydcanem/CentOS-Dockerfiles;freeipa/centos7/Dockerfile
resin-io-library/base-images;node/nuc/alpine/0.10/Dockerfile
ivanalejandro0/run-in-container;apps/gnucash/Dockerfile
EricMountain-1A/openshift-origin;examples/etcd/Dockerfile
GoogleCloudPlatform/nodejs-docker;base/Dockerfile
dyema/docker;builder/parser/testfiles-negative/empty-instruction/Dockerfile
erzel/vitess;docker/lite/Dockerfile.percona57
rrati/origin;Godeps/_workspace/src/github.com/docker/distribution/contrib/compose/nginx/Dockerfile
hacpai/docker;builder/parser/testfiles/znc/Dockerfile
VDuda/pyspider;Dockerfile
gmarek/contrib;ingress/echoheaders/Dockerfile
rcrowder/nupic;Dockerfile-complete
sielaq/busybox;rootfs/Dockerfile
Ajunboys/docker;builder/parser/testfiles/json/Dockerfile
TejasM/Personal;Dockerfile-dev
inmanta/inmanta;Dockerfile
michaloo/tokumx;Dockerfile
mj340522/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
tiwillia/origin;images/simple-authenticated-registry/Dockerfile
armbuilds/golang;1.5/onbuild/Dockerfile
euank/kubernetes;test/images/dnsutils/Dockerfile
imikushin/docker;builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
marun/kubernetes;examples/k8petstore/redis-slave/Dockerfile
techgaun/mustang;Dockerfile_ubuntu
BrianHicks/docker;contrib/builder/rpm/fedora-22/Dockerfile
ejemba/kubernetes;test/images/dnsutils/Dockerfile
mylons/kubernetes;hack/gen-swagger-doc/Dockerfile
nebril/kubernetes;test/images/volumes-tester/rbd/Dockerfile
solanolabs/docker;builder/dockerfile/parser/testfiles/cpuguy83-nagios/Dockerfile
tatsushid/h2o-rpm;Dockerfile.centos6
3manuek/kubernetes;examples/meteor/dockerbase/Dockerfile
JorgenG/kubernetes;cluster/mesos/docker/keygen/Dockerfile
bparees/kubernetes;test/images/volumes-tester/nfs/Dockerfile
guiyomh/Dockerfile;docker/nginx-dev/ubuntu-12.04/Dockerfile
jswank/dockerfiles;tailon/Dockerfile
mariussturm/docker;contrib/builder/rpm/amd64/fedora-23/Dockerfile
roackb2/kubernetes;examples/https-nginx/Dockerfile
sinfere/dockerfile;java/Dockerfile
vinodpanicker/atom;Dockerfile
abutcher/kubernetes;test/images/resource-consumer/Dockerfile
flux-s/cairo-worker;Dockerfile
fredjean/kubernetes;cluster/addons/fluentd-elasticsearch/es-image/Dockerfile
keerthanabs1/docker;builder/parser/testfiles/brimstone-consuldock/Dockerfile
Motiejus/riak_damage;Dockerfile
TestingCI/kubernetes;examples/k8petstore/redis/Dockerfile
sympaas/go14-centos7;Dockerfile
wakashige/kubernetes;Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile
bradleyfalzon/rfc-bot;Dockerfile
lasinducharith/stratos;tools/docker-images/stratos-docker-images/stratos/Dockerfile
pastcompute/sentrifarm;software/Docker/mqtt2graphite/Dockerfile
rajatchopra/kubernetes;cluster/images/etcd/Dockerfile
smalldatalab/omh-shims;shim-server-ui/docker/Dockerfile
Alives/docker-wraith-hub;Dockerfile
SvenDowideit/dockerfiles;boot2docker-dom0/Dockerfile
WiFast/docker-volume-srv;Dockerfile
elsonrodriguez/kubernetes;test/images/network-tester/Dockerfile
eris-ltd/hello-world-dapp;test/Dockerfile
linux-on-ibm-z/kubernetes;test/images/logs-generator/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/io/matlab/tests/data/teststructnest_6.1_SOL2.mat
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/Phylo/PAML/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/poster-0.8.1-py2.7.egg/tests/test_encode.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/Align/Applications/__init__.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/GA/Repair/__init__.py
Jandersolutions/kubernetes;cluster/mesos/docker/keygen/Dockerfile
lwieske/dockerfiles-java-8;8u65/jdk/slim/Dockerfile
spartakode/my-docker-repos;php/phpsymfonymysql/Dockerfile
schwansee/kubernetes-deploy;test/images/fakegitserver/Dockerfile
miqui/docker-machine-oneview;Godeps/_workspace/src/github.com/docker/docker/builder/dockerfile/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
resin-io-library/base-images;node/qemux86-64/debian/default/onbuild/Dockerfile
projectatomic/dockerfile_lint;Dockerfile
llamahunter/gradle-docker-plugin;src/functTest/groovy/com/bmuschko/gradle/docker/tasks/image/DockerfileFunctionalTest.groovy
tiagoor/trvsty-docker-openstack-dev;ansible/roles/keystone/templates/Dockerfile.j2
smalldragonluo/www.smalldragonluo.com;Dockerfile
hbirchtree/coffeecutie-automation-tools;builders/__wip/android/Dockerfile
jaimegildesagredo/shippable-phantomjs-image;Dockerfile
zdw/xos;containers/cord-apps/Dockerfile
nhr/origin;test/extended/testdata/gssapi/ubuntu/kerberos_configured/Dockerfile
gs11/docker;man/Dockerfile
nak3/origin;images/ipfailover/keepalived/Dockerfile
ekkus93/dind;alpine/Dockerfile
upmio/docker;builder/dockerfile/parser/testfiles/znc/Dockerfile
ekuric/docker;Dockerfile
jengeb/docker;docs/examples/postgresql_service.Dockerfile
longmonhau/php;5.5/fpm/Dockerfile
makdharma/grpc;tools/dockerfile/grpc_clang/Dockerfile
newsoft/docker;builder/parser/testfiles/mumble/Dockerfile
roboll/contrib;for-demos/proxy-to-service/Dockerfile
saitodisse/azk;spec/fixtures/test-app/Dockerfiles/scripts/entry.sh
ArtyomKa/docker;contrib/builder/rpm/oraclelinux-7/Dockerfile
DoraALin/docker;contrib/builder/rpm/amd64/opensuse-13.2/Dockerfile
Tlacenka/origin;Godeps/_workspace/src/github.com/docker/distribution/Dockerfile
ckr/dockerfiles;ubuntu-nginx/Dockerfile
fairyeye/docker;builder/parser/testfiles/escapes/Dockerfile
kubernetes/kops;vendor/k8s.io/kubernetes/cmd/libs/go2idl/go-to-protobuf/build-image/Dockerfile
rhuss/gofabric8;vendor/k8s.io/kubernetes/cluster/addons/fluentd-elasticsearch/es-image/Dockerfile
studzien/erlang;R12B-5/Dockerfile
Graha/kubernetes;Godeps/_workspace/src/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
Smana/kubernetes;examples/spark/images/master/Dockerfile
amitsaha/compose;tests/fixtures/build-ctx/Dockerfile
ewindisch/docker;contrib/syntax/textmate/Docker.tmbundle/Preferences/Dockerfile.tmPreferences
goodwinos/docker;docs/sources/examples/apt-cacher-ng.Dockerfile
stackforge/kolla;docker/nova/nova-base/Dockerfile.j2
tiborvass/docker;contrib/syntax/kate/Dockerfile.xml
4Quant/tensorflow;tensorflow/examples/udacity/Dockerfile
Djelibeybi/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
leafac/leafac.com;keys/Dockerfile
mssola/libcompose;Godeps/_workspace/src/github.com/docker/distribution/docs/Dockerfile
nfnty/dockerfiles;images/arch-cadvisor/latest/Dockerfile
nguyentm83/docker;Dockerfile.gccgo
sgallagher/origin;Godeps/_workspace/src/k8s.io/kubernetes/examples/k8petstore/redis/Dockerfile
susan51531/docker;Dockerfile
whuwxl/kubernetes;build/build-image/Dockerfile
ZJU-SEL/kubernetes;cluster/mesos/docker/socat/Dockerfile
bySabi/dockerfiles;develop32/Dockerfile
ericstj/core-setup;scripts/docker/opensuse.13.2/Dockerfile
guiyomh/Dockerfile;docker/php/debian-9/Dockerfile
humblec/kubernetes;build/build-image/cross/Dockerfile
ironcladlou/origin;images/deployer/Dockerfile
moander/kubernetes;cluster/addons/addon-manager/Dockerfile
nullren/docker-ice;nginx/Dockerfile
feiskyer/kubernetes;test/images/fakegitserver/Dockerfile
joshuawilson/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles-negative/env_no_value/Dockerfile
kelcecil/kubernetes;examples/phabricator/php-phabricator/Dockerfile
Chedi/dk_psql_volume;Dockerfile
imdjh/letweplay-core;Dockerfile
jokester/Dockerfiles;openvpn/Dockerfile
spinolacastro/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
changio/docker-python;Dockerfile
dreadwarrior/vantomas;.docker/httpd/Dockerfile
iturcino/docker-files;java7/Dockerfile
njuicsgz/kubernetes-1;test/images/dnsutils/Dockerfile
obsrvbl/docker-images;suricata-ubuntu-14.04/Dockerfile
silarsis/personal_dev;docker/packer/Dockerfile
windianita/kubernetes;contrib/for-tests/volumes-tester/ceph/Dockerfile
jgdigitaljedi/homeDash;Dockerfile
nodesource/docker-node;ubuntu/trusty/node/0.10.33/Dockerfile
postfix/extract-elf-so;Dockerfile-compile
witalisoft/infomarquee;Dockerfile
dougstanley/dockerfiles;buildhost/jessie/Dockerfile
karlfloersch/quick-blog;Dockerfile
magicwang-cn/kubernetes;examples/k8petstore/redis-master/Dockerfile
rzanato/caddy-container;Dockerfile
olegshaldybin/kubernetes;test/images/mount-tester/Dockerfile
stephenliang/dockerfiles;seafile-base/Dockerfile
chakri-nelluri/kubernetes;test/images/volumes-tester/ceph/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/PIL/PixarImagePlugin.pyc
LinuxAtDuke/Intro-To-Docker;grumpycat/Dockerfile
dobbymoodge/source-to-image;test/integration/images/sti-fake-env/Dockerfile
jpopelka/Fedora-Dockerfiles;memcached/Dockerfile
marcelotoledo5000/kubernetes;contrib/for-tests/porter/Dockerfile
webtatic-dockerfiles/centos6;vagrant/Dockerfile
armhf-docker-library/cadvisor;master/armhf/Dockerfile.build
ordinarygithubuser/web-client;node_modules/nodemon/Dockerfile
pombredanne/atomic-enterprise;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/brimstone-docker-consul/Dockerfile
GrahamDigital/python3.4_docker;Dockerfile
JTarball/docker-django-polymer;docker/nginx/Dockerfile
bioinformatics-ptp/dockerfiles;compose/django/web/Dockerfile
thomasleyer/Fedora-Dockerfiles;memcached/Dockerfile
oaastest/azure-docker-extension;Dockerfile
saks/docker-maxmind-geoipupdate;Dockerfile
controlzee/python-github-webhooks;Dockerfile
eripa/docker-opensmtpd-relay-debian;Dockerfile-arm
hqhq/oct;Cases/Benchmark/sysbench/memory_rw/source/Dockerfile
wso2/msf4j;samples/petstore/microservices/frontend-admin/container/docker/Dockerfile
slok/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
1HLtd/docker;docs/Dockerfile
GNOME/libgda;docker-tools/ldap-test-server/Dockerfile
ksasi/docker;contrib/builder/rpm/fedora-23/Dockerfile
sischkg/knot;scripts/Dockerfile
87439247/zkui;docker/Dockerfile
ChoyHy/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
KyoheiG3/grpc;tools/dockerfile/grpc_scan_build/Dockerfile
gforge/Gocker;R/R-dev/Dockerfile
gonet2/bgsave;Dockerfile
hyperhq/hyper;Godeps/_workspace/src/github.com/docker/docker/builder/dockerfile/parser/testfiles/znc/Dockerfile
jacobxk/docker;contrib/builder/deb/debian-stretch/Dockerfile
jojow/clartigr;dist/Dockerfile
rhatdan/docker;vendor/src/github.com/docker/distribution/Dockerfile
HackToday/kolla;docker/centos/source/murano/murano-base/Dockerfile
byrnedo/blogsvc;Dockerfile
daehyeok/docker;builder/dockerfile/parser/testfiles/multiple-volumes/Dockerfile
jhammant/origin;images/builder/docker/custom-docker-builder/Dockerfile
jimmyxian/swarm;Dockerfile
kwagdy/koding-1;go/src/vendor/golang.org/x/tools/cmd/tip/Dockerfile
originye/docker;man/Dockerfile
pinterb/infosvc;Dockerfile
purpleidea/etcd;tools/functional-tester/docker/Dockerfile
wlan0/docker-py;Dockerfile
TribeMedia/flynn;controller/examples/Dockerfile
bbox-kula/docker;docs/examples/running_riak_service.Dockerfile
vizv/Dockerfiles;centos/rails_app/Dockerfile
AHaymanDev/RPLife;Dockerfile
abdokh/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
actaeon/resourced;Godeps/_workspace/src/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
auready/docker-py;Dockerfile-py3
baoqu/baoqu-front;docker/Dockerfile
binario200/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
eosrei/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
joshm1/kubernetes;examples/spark/images/base/Dockerfile
ecwpz91/kubernetes;docs/user-guide/horizontal-pod-autoscaling/image/Dockerfile
maxamillion/origin;images/simple-authenticated-registry/Dockerfile
tcnksm/dockerfiles;h2o/Dockerfile
tkopczynski/docker;Dockerfile
ville-k/tensorflow;tensorflow/tools/dist_test/server/Dockerfile
AlainRoy/kubernetes;cluster/mesos/docker/test/Dockerfile
crawford/kubernetes;examples/k8petstore/web-server/Dockerfile
hodovska/kubernetes;examples/k8petstore/web-server/Dockerfile
alexellis/docker-arm;images/armv6/redis-arm/Dockerfile
ktraghavendra/docker;contrib/builder/rpm/fedora-22/Dockerfile
multiarch/dockerfile;method-c/Dockerfile
ozlevka/node-crawler;Dockerfile
aatarasoff/kubernetes;examples/hazelcast/image/Dockerfile
boriza/gemfire-docker;base/Dockerfile
chlorm-forks/shipyard;controller/Dockerfile
danwinship/kubernetes;cluster/images/etcd/Dockerfile
matttproud/kubernetes;examples/guestbook-go/_src/Dockerfile
natanovia/dockerfiles;afterthedeadline/Dockerfile
samuelngs/docker-jdk7;Dockerfile
stefwalter/kubernetes;cluster/mesos/docker/km/Dockerfile
chuckbutler/kubernetes;examples/cluster-dns/images/frontend/Dockerfile
jimzucker/hygieia-temp;api/docker/Dockerfile
nodesource/docker-node;fedora/23/node/4.2.6/Dockerfile
Rucknar/rancher-compose;Dockerfile
colinmorelli/kubernetes;examples/explorer/Dockerfile
baude/Fedora-Dockerfiles;couchdb/Dockerfile
leoschweizer/docker-acha;Dockerfile
sirhopcount/docker-redis;Dockerfile
nubs/docker-maven-onbuild;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/HTSeq-0.6.1p1-py2.7-linux-x86_64.egg/EGG-INFO/not-zip-safe
